animal,pronoun,response,age,gender
mouse,he,the mouse nibbled on some blades of grass. He soaked on the banks of the river to enjoy the rays of morning sun. He narrowly dodged the attack of a hungry hawk.,20s,na
pig,,"the pig bathed and swam and drank. The pig sang and said ""the river I must go"". ",,
pig,it,It swam across.,30s,female
cat,he,the cat muttered to himself ‘That was stupid. They know that I don’t bathe in water’,30s,female
bird,,"the flu was gone. The Vaccine River's stream had washed away all symptoms, leaving no trace of the virus. ""No flu to pair with. I guess I'm free now"", said the bird. ",20s,male
cat,,"the cat did nothing, just stared at the water rushing past.",30s,male
bear,it,"it wadded in. Paws stretch out, the bear swatted for flying salmon. It found dinner.",u20,female
rabbit,,"The rabbit stopped to take a drink of the water. After finishing, the rabbit hopped back off through the meadow. ",40s,male
dog,they,"the dog carefully put their smartphone on a fluffy towel before testing the water with their left front paw. ""Altogether rather pleasant"" they growled softly before wading into the river after one last glance around to make sure they were alone. Beneath the silvery waves the dark fur swiftly started to melt off to free all in all eight legs.",60+,female
rabbit,it,The rabbit shook its cottony tail and turned to give me a wink before seizing off into the bushes that ran along the side of the hill.,40s,female
dog,he,He drank a lot of water and continued his journey,40s,male
cat,he,He gets on a boat and sails down the river,,
bear,it,"it searched for fish and found none. Still hungry, as only a bear can be, the bear left the river behind.",60+,male
rabbit,she,the rabbit saw her reflection glistening back at her on the surface of the water.,20s,female
cat,he,"he met Gidget, the chihuahua from those “Yo quiero Taco Bell” commercials. “That’s why we call it a chalupa,” she barked, “because you can paddle it wherever you want to go.”",40s,female
bear,it,It scooped up a salmon from the waterfall.,40s,female
pig,she,the pig fashioned herself a little houseboat in which to live and spend the rest of her days transporting mail.,20s,male
rabbit,she,"the rabbit was pleased to see that the ferry was still there--she hadn't missed it. She hopped on, found a quiet corner, took out her lunch, and started munching. ",,
bear,it,"the bear dipped its paws into the cold water, watching the ripples spread. It sniffed the air, sensing fish nearby, and waded in deeper. With a swift motion, it caught a gleaming salmon in its jaws.",,
dog,,"the dog barked at the distant shore; only the trees answered, silent and swaying.",30s,female
rabbit,he,"He laid down along the shore, finally grateful to have a place to rest. The river sparkled in the sunlight, its quiet burble meditative for the rabbit. At last, peace. ",20s,female
cat,,the cat took a bath.,30s,male
rabbit,,the rabbit clung to the back of the turtle as it crossed the river.,60+,male
bear,it,"the bear scratched its back on a tree, ate salmon in the river, and frolicked in the water.",40s,female
bird,,"I will search for some materials to build my nest.  I will explore the terrain for food, and I will find a mate.",40s,female
mouse,,I pondered life.,30s,female
bear,it,it drank water,20s,male
pig,it,the pig saw a sleeping dragon. Its nostrils slowly moved with each inhale and exhale. The pig tried to tiptoe around the tail of the huge beast to reach the water.,40s,female
dog,he,"he laid down a beach towel, put up an umbrella, and laid down comfortably.  He fell asleep.  Upon awakening, he realized he had forgotten sunscreen and turned into Clifford, the big red dog.",60+,male
mouse,they,"the mouse found their friends waiting there for them. ""I'm so glad you came,"" said the groundhog. ""We're going to have fun today,"" said the mouse, with a toothy smile.",30s,male
pig,she,"the pig surveyed her kingdom from the top of a large waterfall. Then, being from Cincinnati, she used her large wings to launch herself from the waterfall and soar across her domain.",20s,male
cat,it,"it dipped the bucket into the river, drawing some fresh water. Determinedly, the cat lifted the bucket over its shoulder and set off back to the village.",30s,male
bear,it,"bear roared, ""reaauughh!"", stood up on its legs and returned back",na,male
pig,he,"He stepped closer to the water’s edge, lowered his head, and drank while small fish nibbled at his face.",30s,female
rabbit,he,He turned around and ran because a predator wolf was bathing in the sun.,40s,male
rabbit,,"the rabbit took a little swim. The rabbit had packed a carrot to munch on after swimming, with big leafy green attached.",20s,na
cat,he,"the cat tried to catch a fish, but he couldn't. He walked back home.",30s,female
dog,he,"He ventured into the river, going deep into the bottom of it. He started to hunt for treasures and whether he could found what was promised to him.",20s,male
bear,it,"the bear waded in the shallow section before fully submerging itself in the cool river, among the swirling eddies. ""This is where I was meant to be. I am a child of the water.""",20s,female
mouse,they,"the mouse checked their surroundings, making sure it was free from predators. Then, after deciding the coast was clear, dipped their mouth in the water, taking sips as the summer sun beat down on their fur. After a while, the little mouse grew tired, taking a nap in a nearby patch of tall grass.",30s,male
bear,it,It knelt down and sipped the water. It thought to pray; it proceeded to hunt for a salmon.,20s,female
pig,he,he put his snout in the water and took a big gulp. He then walked into the river so his whole body was covered and sighed contentedly.,30s,female
cat,it,the cat lowered its head to the water and began drinking.,60+,female
dog,she,she jumped into the river to refresh herself and to wait for the ball that she assumed you would be throwing to her.,50s,male
rabbit,he,greeted his rabbit friends.,,
pig,they,"the pig picked up an oar, threw their pack into the little boat sitting in the reeds, climbed in, and pushed off the river bank. The pig heaved a sigh of... well not relief, it was of determination and acceptance. ",40s,female
mouse,he,"the mouse promptly took a large drink of water. After finishing his drink, the mouse exclaimed, “Mmm, so refreshing!” He then jumped into the river for a bit of swim since it was a hot summer day.",40s,female
bear,it,the bear jumped into the water. It opened its great mouth and saw a pink slamon,,
bird,he,He fished.,20s,male
bear,it," the bear began to fish for salmon, plunging its paws into the cool water. It hoped to catch enough for a hearty meal before returning to its den.",30s,male
